2019-11-18 14:10:59.818 [main] DEBUG a01166101.db.Database - Loading database properties from db.properties
2019-11-18 14:10:59.825 [main] DEBUG a01166101.db.Database - com.microsoft.sqlserver.jdbc.SQLServerDriver
2019-11-18 14:11:00.997 [main] DEBUG a01166101.db.Database - Database connected
2019-11-18 14:11:01.471 [main] DEBUG a01166101.db.Database - Found the target table named: A01166101_Customers
2019-11-18 14:11:01.485 [main] DEBUG a01166101.data.customer.CustomerDao - SELECT id FROM A01166101_Customers
2019-11-18 14:11:01.498 [main] DEBUG a01166101.data.customer.CustomerDao - Loaded 98 customer IDs from the database
2019-11-18 14:11:01.499 [main] DEBUG a01166101.db.Database - Loading database properties from db.properties
2019-11-18 14:11:01.565 [main] DEBUG a01166101.db.Database - Found the target table named: A01166101_Books
2019-11-18 14:11:01.571 [main] DEBUG a01166101.data.book.BookDao - SELECT id FROM A01166101_Books
2019-11-18 14:11:01.587 [main] DEBUG a01166101.data.book.BookDao - Loaded 499 book IDs from the database
2019-11-18 14:11:01.590 [main] DEBUG a01166101.db.Database - Loading database properties from db.properties
2019-11-18 14:11:01.653 [main] DEBUG a01166101.db.Database - Found the target table named: A01166101_Purchases
2019-11-18 14:11:20.509 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 9178
2019-11-18 14:11:20.516 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 9193
2019-11-18 14:11:20.524 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 9292
2019-11-18 14:11:20.618 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 9352
2019-11-18 14:11:20.626 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 9475
2019-11-18 14:11:20.633 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 9500
2019-11-18 14:11:20.641 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 9541
2019-11-18 14:11:20.648 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 9555
2019-11-18 14:11:20.656 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 9588
2019-11-18 14:11:20.665 [AWT-EventQueue-0] DEBUG a01166101.data.customer.CustomerDao - SELECT * FROM A01166101_Customers WHERE id = 9672
2019-11-18 14:11:32.408 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT id FROM A01166101_Books
2019-11-18 14:11:32.425 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - Loaded 499 book IDs from the database
2019-11-18 14:11:32.425 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 1
2019-11-18 14:11:32.446 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 2
2019-11-18 14:11:32.456 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 3
2019-11-18 14:11:32.471 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 4
2019-11-18 14:11:32.761 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 5
2019-11-18 14:11:32.773 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 6
2019-11-18 14:11:32.783 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 7
2019-11-18 14:11:32.794 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 8
2019-11-18 14:11:32.805 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 9
2019-11-18 14:11:32.814 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 10
2019-11-18 14:11:32.821 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 11
2019-11-18 14:11:32.879 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 12
2019-11-18 14:11:32.886 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 13
2019-11-18 14:11:32.896 [AWT-EventQueue-0] DEBUG a01166101.data.book.BookDao - SELECT * FROM A01166101_Books WHERE id = 14
